,prompt,response,reflection
35,so here you are you're an honor student you're star athlete you've kind of been doing everything you've been told for all these years and maybe last month sometime you started getting more involved in the party scene and it was fun at first but now you're already noticing some consequence,right like I've been noticing I've been more lethargic and apathetic towards schoolwork I haven't really I kind of just sit in class like my mind is elsewhere especially on the weekends we're instead about instead of studying I'm caught up with my friends trying to find what we can I get alcohol based on their age and stuff like that,it's really changed your focus yeah what do you like about drinking
36,it's really changed your focus yeah what do you like about drinking,I don't know it it's I'm a very reserved person for the most part not well not when I'm doing sports but like you know like a social environment I tend to keep to myself because I'm very self-conscious I would say and when I when I drink I feel I don't know like it relaxes me I'm able to talk or engage with other people more easily,so helps you kind of used to not feel more relaxed
37,any other things,just different group of friends of group of girlfriends thank you different people that I'm hanging out with because certain people are associated with that type of so that's that that's also changed,so your your friends that you were hanging out with there's a little tension there now
38,in the session before we were talking a little bit about your alcohol use hoping you could you could tell me a little bit more about that,yeah it's it's kind of him I kind of had some issues this week again - I was I was at a party and I feel so stupid that I was like you know I did not mean to get that drunk I swear I was just gonna have you know two drinks that's what I told myself and I made an idiot of myself I I was an idiot I am oh my god I was completely flirting with my boss's husband like so I was told the next day I'm I would never do that you know and God talking to you about it right now I feel like I could use a drink you know I would I would love to have one right now honestly but you know and you know maybe a part of it I said I was just gonna have two drinks right I had two drinks at the party you know two vodka tonics and I didn't even it was like I had nothing though you know and so I had another and then I guess that's just kind of when I you know I didn't mean to and I feel stupid but you know I flirted with my boss's husband my boss actually thought it was kind of funny the next day thank God it's like not a problem but I'm mortified you know,doesn't feel good for you
39,has has this alcohol use interfere any other air in life socially or an employer or anything,no I'm and I mean I'm not working you know home with the kids but the kids are you know in school till 3:00 and you know knowing my friend's party like I do well my mother-in-law's she's just kind of pissed last night I don't know what I said to her,so when you're when you're talking earlier you'd mention that you were feeling anxious lucid anxious trouble sleeping look like you're shaking a little bit there was this a result of you cutting back
40,how did that happen,I went out at lunch with my coworker and we walked by the bar and this woman had a martini and it just looked so good and I thought I was gonna have one you know I said I was not gonna drink at work I was not gonna drink at work you know I saw that martini so I thought I'd have one and I don't know what happened but I know I went back to the office afterwards you know I know that my husband was called to come pick me up and he brought home a box of all my stuff,it's a bad experience for him
41,get out of it you mean gonna have the charge,yeah I mean I feel like they're probably gonna make me like go to rehab or something like that I want to do that,so you feel like you can get out of the rehab part too-
42,so you feel like you can get out of the rehab part too-,um I don't know I really am Not sure I just know that I don't know getting in getting the DUI is kind of just made me realize I like me to make it change but I'm just not ready to stop drinking or using marijuana there's just like the only things that like really help me in my life,all right so with this recent arrest you realize it may be about you to stop using but really don't want to
43,alone safety of the marijuana,yeah I mean I'd like a few people that always smoke with but usually just kinda by myself I mean I smoke every day so thought it was with people I'm doing it,so doesn't sound like you're really worried about losing your social support if you stop using
44,what are you losing,I kind of just like use it to like cope I got like I have a brain injury that I got like a while ago like it still causes pain and that's just the only thing that ever seemed to help once after the injury,this is the alcohol in there one
45,any other reasons,um it's just easier it's just the marijuana like relaxes me it's just easier to kind of like forget about things when I'm using,like forget about problems
46,all right so you can't imagine that so was it at the other side can you imagine having further incensed with law enforcement more charges in the future,um I guess I hadn't really considered that I mean that I don't want there today I guess I would want this to kind of like go as smoothly as possible not get any more charges or anything like that not be in this situation again,so you could kind of picture an outcome where you beat these charges or there's not I really have a consequence and you'll be more careful in the future
47,so you could kind of picture an outcome where you beat these charges or there's not I really have a consequence and you'll be more careful in the future,Um I don't know yeah I guess so I guess I probably just wouldn't drive if I like was just turning like right before try to like avoid that situation again,so with that thinking you could continue to use as you were that you would take out the part that got you in trouble
48,so if you could have the pain and anxiety go away without the alcohol marijuana would you continue to use it,I just couldn't imagine getting to a place where that wasn't what was like helping me and then to like I don't I drink mostly by myself but I couldn't imagine like if my friends called me up and said hey do you want to go out tonight like not drinking with them,so there is a social component here
49,so you know if you had no anxiety no pain you'd have to give up at least those interactions with your friends how would they respond if you went out with them and didn't drink,um they probably just like wouldn't understand it because we all go out when we got like really drunken I would just feel like out of place,so it'd be socially awkward
50,but then you have this this recent situation which is making you second-guess some of it,yeah I mean it's making me think that like maybe I I need to like make a change I just can't see that that's the change I'm making,so you need to make some change
51,you have any theories,I mean I just thinking like just like cutting back on it and like not drinking and driving obviously because that's what like got me into this situation don't like other than that really and I really have really thought of what I could do,so you could reduce your usage avoid driving and that might that might get you to your goal would that be enough usage to stop the anxiety in the pain
52,is that just is that just me or does it seem that way to you to,now that I'm like talking through it yeah and I don't think I have any choice really,you don't have any choice what's gonna happen it's going to happen
53,that wouldn't look good either all right so you want to avoid those behaviors for sure so you know for sure you don't want it those things would it be acceptable to do those things,I mean not really I mean I think I could avoid the nollie drunk-driving enough or maybe not to drank the day of my court date but I don't know about the whole you marijuana part,that's tougher
54,goals that you could get behind,um I mean I can try I guess so like think about it and try to get out there I know I'm gonna be stressed out the day of my court dates are it's gonna be hard to like not drink that day,you're not striking me as overly enthusiastic about this idea
55,so now that your little calmer let's talk about what happened with mom before you came here this afternoon,okay well I mean she knows that I'm looking for a job and she knows that I'm going to school and just every time I walk in the door she asks me to do the dishes no matter what and I just we get in a huge argument over well you've been home for two more hours and I've been home so why didn't you do the dishes or why didn't you start the dishes and and we scream at each other and I scream we have screaming matches I always try to scream louder than her and then she gets upset,alright so it's back and forth in the situate a situation escalates and you slam doors and
56,okay well let's use this situation that has happened to you because today I wanted to actually work on awesome interpersonal would give them and I have a handout sheet to give you and it's called the give technique I want you to take a look at this handout you can take that home with you we're going to talk about this we can directly apply this to what happened today with your mom because this is going to happen again right same situation with your mom so it's a it's a an acronym give giv e why don't you read what those letters stand for,okay G gentle be gentle I interested act act interested the validate e easy manner use amazing manners,okay so this is just something that when a situation starts to escalate you can just say give
57,okay that's very good good what about act interested,I'm going to make eye contact with her,okay that's important so she knows that you're listening
58,right okay that would be something that you could do quickly and easily okay and what about validate it's an interesting word what what might that how might you validate what your mother is saying,I'm I can tell her that I understand that she would like me to help out around the house,yes because you know what if you live together is it important that you work together and get everything done nobody likes to do housework but you all have to do it so does she have a good point
59,yeah,I stopped I took a breath,T you took it breath and kind of like took a step back okay
60,okay great so you're doing well what sorts of goals do you have for after college or after high school,I'd like to you know I'd like to of course graduate high school hopefully go to a nice Ivy League school or I mean that might not happen and then I'd like to go on become a doctor study psychology you need to come a psychiatrist or something,okay you have some pretty big dreams
61,okay,I place great importance in that,okay great so sort of being a part of a group and being a part of a team gives you a sense of belonging like you said a sense of purpose anyway and then the respect is really sort of all-encompassing it's not just Authority but respecting yourself respecting your teammates or your bandmates and other people around you okay that's great all right well one of the things I want to talk to you about sort of relates to belonging and your friends so what kinds of things do you like to do when you get together with your friends
62,mm-hmm and so when you go to parties most of the time there's alcohol there okay and how often do you think you would say you're drinking,I'd say um on a not busy month for instance I'd say about like two weekends out of the month two three,mm-hmm so about half the time you're drinking and half the time you're not can you tell me what's different about the days when you choose to drink versus not to drink
63,mm-hmm so about half the time you're drinking and half the time you're not can you tell me what's different about the days when you choose to drink versus not to drink,the days that we drink are mostly like I said they're parties so it's more of that whole partying and dancing and you know having everyone have fun and then when we don't it's a lot more relaxed it's a lot more hanging out playing board games watching a movie it's not yeah,so it really depends on what the activity is whether or not alcohols get
64,mm-hmm,but in the moment it's quite fun to dance and have,okay so there's sort of pros and cons
65,okay so sort of in the the too much drinking or our times can you tell me some of the less good things or not so good things about alcohol,um a lot of times it will make make people stupid yeah you know people make dumb decisions and things like that we we usually try to be as safe about it as possible so like sleepover friends house and so you know we're not driving and it's mostly within our friend group so we're not worried about strangers putting weird things in our drinks but um definitely some of the ideas people can have when they're stupid when they're drunk can can be really stupid,hmm so you're trying to like you said not engage in really dangerous activities you're trying to stay put you're not driving you're trying to stay with people that you trust but yet it sounds like there's still some some things happening
66,huh okay so on the one side some of the fun things associated with alcohol are people are just more relaxed sort of carefree and kind of let loose a little bit more on the other hand there's a little bit more I guess planning involved because you have to make sure that you're doing it safely or as safe as you can and then there can be some other consequences like throwing up or even if it's not you that sometimes you're stuck your your fun is sort of ruined when you're stuck dealing with a friend you drink too much okay any other not-so-good things about the alcohol,yeah people can get a little like sloppy I guess like they're all loose like with people and corners doing things that should be done in private and that kind of stuff,so you're kind of stuck being exposed to things you don't mean busy
67,got it okay all right well you mentioned a couple times that you've made a few decisions to try and limit the a dangerous aspect of the drinking why did you make those decisions,I just I you know have an aunt who is an alcoholic so I I see like the issues that are involved and I've seen movies and things I know that drunk driving is an issue so I you know I want to be as safe as possible in those terms and be in a setting where like we can let loose but still be safe like I someone's house or someone's parents home or something but so I like I know that there are dangers involved and I guess I want to limit that and still be able to have fun,okay yeah it sounds kind of similar to your your value of respect too so on the one hand you the drinking maybe helps with the belonging community to start if there's too much then
68,mm-hmm,and um you know have my friends on board with a similar mentality so we can kind of work at it together as a group as a community,uh-huh so kind of combined he has goals okay so you're you have a goal it sounds like of actually cutting back on your drinking how important is it to you to work on that goal on on the scale of one to ten where one is not at all important antennas it's the most important thing right now
69,uh-huh,I still you know like I said I don't want my body tried specially going to my school like I know how things affect your body and also affect your your social and your schoolwork and things like that I know that once I get to college it's not it's not gonna gonna work out being you know drinking every weekend and I'm like trying to wake up early and go to school take an exam I know that's not that's not feasible it's not a good idea,yeah looking ahead you can't keep drinking this way and reach the goals that you have for years now okay well how confident are you that you could cut down if you wanted to
