,prompt,response
32,and then you are using the unplanned when you feel like your blood sugars are running high,even exactly
33,even exactly,and how do you feel your implants working for that
34,and how do you feel your implants working for that,I think it's good because my sugars aren't about 14 every day so it must be working it must work her maybe even a couple of days so it's pretty effective
35,I think it's good because my sugars aren't about 14 every day so it must be working it must work her maybe even a couple of days so it's pretty effective,do you feel like you've seen some real improvements on that
36,do you feel like you've seen some real improvements on that,yeah definitely
37,yeah definitely,okay so tell me why you're only using it when your blood sugar goes high
38,okay so tell me why you're only using it when your blood sugar goes high,oh okay yeah so I was supposed to use it everyday at first I think um which I was like the first week that I had it I started injecting everyday I don't carry about a week it's your to hurt when I was inject here so that's when I started doing it less often thinking if I kind of gave this skin a couple days to heal it wouldn't hurt as much by the next time I I gave myself the injection
39,so you were experiencing some pain who knows what I'd like you to kind of use it a little left off,yeah it hurts a lot when I check
40,and you feel like that's really impacting your day,mm-hmm I do yeah
41,mm-hmm I do yeah,okay so sounds like you've seen some improvement your blood Sugar's have been sometimes under control what have you discuss with your doctor recently
42,okay so sounds like you've seen some improvement your blood Sugar's have been sometimes under control what have you discuss with your doctor recently,um why has she haven't seen my doctor since I started the insulin so I guess I haven't told him I'm not using it every day like he wanted I hope you I hope you understand
43,well you're here today for the refill and it seems like you're really committed to getting your blood Sugar's under control,mm-hmm
44,mm-hmm,there are some options that we could discuss about how to reduce pain when you inject
45,there are some options that we could discuss about how to reduce pain when you inject,okay that sounds good
46,okay that sounds good,there are also some suggestions that I could make about how to keep your blood Sugar's under control best
47,there are also some suggestions that I could make about how to keep your blood Sugar's under control best,okay I like below 15
48,okay I like below 15,hi John
49,hi John,hi Justin I'm dropping off a new prescription
50,hi Justin I'm dropping off a new prescription,no problem I have this in stock but I do notice that these prescriptions from the hospital can you tell me more about that
51,no problem I have this in stock but I do notice that these prescriptions from the hospital can you tell me more about that,yeah I was in the hospital for about ten days I had this infection where the fluids are oh I need my refills they didn't give me any new prescriptions in the hospital
52,yeah I was in the hospital for about ten days I had this infection where the fluids are oh I need my refills they didn't give me any new prescriptions in the hospital,I did have some auto refills for you in the pharmacy unfortunately to return to stock since you weren't able to pick them up but if you give me twenty minutes I can get them all ready for you
53,I did have some auto refills for you in the pharmacy unfortunately to return to stock since you weren't able to pick them up but if you give me twenty minutes I can get them all ready for you,I twisted my ankle leaving the apartment this morning it's hurting real bad
54,I twisted my ankle leaving the apartment this morning it's hurting real bad,that's terrible John asbestos in your first day coming back from the hospital but I did want to talk to you about one thing the ibuprofen is you're holding especially with your medical condition will have a tendency to reduce blood flow to your kidneys
55,that's terrible John asbestos in your first day coming back from the hospital but I did want to talk to you about one thing the ibuprofen is you're holding especially with your medical condition will have a tendency to reduce blood flow to your kidneys,really but they told me I couldn't take Tylenol but I thought that ibuprofen would be okay at the hospital when I first got there they said my kidneys weren't doing too good but when I left they said everything was back to normal
56,really but they told me I couldn't take Tylenol but I thought that ibuprofen would be okay at the hospital when I first got there they said my kidneys weren't doing too good but when I left they said everything was back to normal,well if you don't mind John if we can go over to the side area and I can discuss with you further kind of see your ankle John
57,well if you don't mind John if we can go over to the side area and I can discuss with you further kind of see your ankle John,sure
58,sure,does look swollen does it hurt anymore mark when you move it does
59,does look swollen does it hurt anymore mark when you move it does,no it's the same
60,no it's the same,I think the best thing for now is to get a cold pack and elevate your ankle to 45 degrees let me grab that for you real quick so this is the instant cold pack so just basically to activate it you just squeeze in place it around your ankle and elevate it to 45 degrees and the reason why I feel more comfortable with this recommendation is because you've told me about your kidney problem in the hospital I really don't feel comfortable with you're using ibuprofen and because if your liver condition the fluid is pooling in your abdomen which is restricting the blood flow to the kidney ibuprofen will further restrict blood flow to the kidney and your blood pressure medication the lisinopril there's normally a very good medication that will further reduce blood flow to the kidney and the total effect of all three of these factors will drastically reduce buffer to the kidney and the kidney failure and that's why I feel more comfortable with the cold pack recommendation and if you have further questions we can talk to your doctor
61,I think the best thing for now is to get a cold pack and elevate your ankle to 45 degrees let me grab that for you real quick so this is the instant cold pack so just basically to activate it you just squeeze in place it around your ankle and elevate it to 45 degrees and the reason why I feel more comfortable with this recommendation is because you've told me about your kidney problem in the hospital I really don't feel comfortable with you're using ibuprofen and because if your liver condition the fluid is pooling in your abdomen which is restricting the blood flow to the kidney ibuprofen will further restrict blood flow to the kidney and your blood pressure medication the lisinopril there's normally a very good medication that will further reduce blood flow to the kidney and the total effect of all three of these factors will drastically reduce buffer to the kidney and the kidney failure and that's why I feel more comfortable with the cold pack recommendation and if you have further questions we can talk to your doctor,thanks for letting me know about this I certainly don't want to hurt my kidneys I got enough problems
62,thanks for letting me know about this I certainly don't want to hurt my kidneys I got enough problems,that's why we're here and if you want to walk with me back to the pharmacy I can get all your prescriptions rung up for you you
63,that's why we're here and if you want to walk with me back to the pharmacy I can get all your prescriptions rung up for you you,Welbeck I'm just not sure that I'm ready to quit I just I just don't think I can do this right now
64,so you're really not confident that you'd be successful long-term,yeah pretty much
65,yeah pretty much,you know like I know quitting is really hard and it takes a lot of strength to go through that but is it the hardest thing you've ever done
66,you know like I know quitting is really hard and it takes a lot of strength to go through that but is it the hardest thing you've ever done,what must be because I haven't quite yet
67,what must be because I haven't quite yet,well in all seriousness is I know there's other hard things you've been through so if quitting really the toughest thing you've ever done
68,well in all seriousness is I know there's other hard things you've been through so if quitting really the toughest thing you've ever done,no I'm Courtney I mean going to my divorce was difficult
69,no I'm Courtney I mean going to my divorce was difficult,and you got through it
70,and you got through it,yeah but there was just different circumstances
71,it is a different type of difficulty you're right and I don't want to make light of that but what I'm the point I'm trying to make with you is that it was difficult and you rose to the challenge and you got through it,yeah that's true
72,yeah that's true,so what I know of you is that when you're faced with a tough challenge like a divorce you rise to the occasion and you manage to get through it and you come out on top so are you ready for the challenge of quitting
73,so what I know of you is that when you're faced with a tough challenge like a divorce you rise to the occasion and you manage to get through it and you come out on top so are you ready for the challenge of quitting,yeah you know I hear what you're saying but you know I just don't want to be a failure I don't want to let people down I don't want to let my family down and I I just don't think I'm ready
74,yeah you know I hear what you're saying but you know I just don't want to be a failure I don't want to let people down I don't want to let my family down and I I just don't think I'm ready,well I do totally respect your decision if you really don't want to quit and you're not open to it then you know that is your choice whatever you choose to do about your smoking habit really is your choice and I do respect that so where do we go from here
75,well I do totally respect your decision if you really don't want to quit and you're not open to it then you know that is your choice whatever you choose to do about your smoking habit really is your choice and I do respect that so where do we go from here,well I don't want to quit right now but I know that in the past cutting down has helped me
76,cutting down that would be a great step I mean that would be wonderful so I know you've tried before what else have you learned what other lessons have you learned from quitting I'm guessing you've learned a lot of lessons,well I know in the past the nicotine gum has helped me I just didn't really care for the taste
77,well I know in the past the nicotine gum has helped me I just didn't really care for the taste,well I have some ideas on that if you'd be open to hearing them
78,well I have some ideas on that if you'd be open to hearing them,sure
79,sure,they've got a lot of new flavors on the gum they're cinnamon and orange and juicy fruit which is a popular one and mint and I've had a lot of people have favorable things to say about the new flavors
80,they've got a lot of new flavors on the gum they're cinnamon and orange and juicy fruit which is a popular one and mint and I've had a lot of people have favorable things to say about the new flavors,that's something I didn't know that so you think you might want to try it again again in addition to cutting back
81,that's something I didn't know that so you think you might want to try it again again in addition to cutting back,how about if I cut back for a month and then I'll try the gum
82,how about if I cut back for a month and then I'll try the gum,I think that is an excellent idea and I think that you really will be able to do it this time
83,I think that is an excellent idea and I think that you really will be able to do it this time,I also
84,I also,you Rachel it hurt coming today what brings you in
85,you Rachel it hurt coming today what brings you in,well so I've been working with the weight management clinic and I just when I found out that this was an opportunity I thought why not use this as another resource to help me lose weight
86,well so I've been working with the weight management clinic and I just when I found out that this was an opportunity I thought why not use this as another resource to help me lose weight,and why why do you want to lose weight
87,and why why do you want to lose weight,well so really recently actually my older sister has had a lot of health concerns relate to her weight and it just sort of jostled me a little bit because we're so similar
88,really related to your sister,yeah so I've been this weight for a while but like now I feel like this is really the time for me to start making some changes
89,yeah so I've been this weight for a while but like now I feel like this is really the time for me to start making some changes,what kind of problems sister experience
90,what kind of problems sister experience,well so she has some high cholesterol and high blood pressure and I guess those are things that were running my family but I'm really worried because my grandmother has suffered from a stroke and I definitely don't want to do that
91,there's big change gears to get healthy,yeah I mean another birthday rolled around and I just realized that I'm not getting any younger thank you thank you but yeah so there's some pressure there too
92,yeah I mean another birthday rolled around and I just realized that I'm not getting any younger thank you thank you but yeah so there's some pressure there too,so there's been some big things going on your life that's really prompted your push for weight loss so I just want to check it really quick and so on a scale of one to ten with one being really super important and have to do it starting today where are you in turn taken away
93,so there's been some big things going on your life that's really prompted your push for weight loss so I just want to check it really quick and so on a scale of one to ten with one being really super important and have to do it starting today where are you in turn taken away,oh I would definitely say a ten
94,oh I would definitely say a ten,okay
95,okay,we want right now for me is really really important
96,we want right now for me is really really important,and what puts you out of 10
97,and what puts you out of 10,just kind of all these reminders in the last year and then I'm getting a little bit older all of those things together make it a 10
98,just kind of all these reminders in the last year and then I'm getting a little bit older all of those things together make it a 10,okay bad idea on in that same scale with one being not confident at all to 10 being super super confident where would you say your are in terms of your confidence to actually lose the way
99,okay bad idea on in that same scale with one being not confident at all to 10 being super super confident where would you say your are in terms of your confidence to actually lose the way,Oh honestly I would probably say that I'm like a five or six with confidence
100,Oh honestly I would probably say that I'm like a five or six with confidence,and what what promise you to pick a five or six
101,and what what promise you to pick a five or six,I just like been tried to lose weight before and those things certainly have failed as I still I'm the same way
102,I just like been tried to lose weight before and those things certainly have failed as I still I'm the same way,okay
103,okay,that's what really only leaves me at five or six
104,that's what really only leaves me at five or six,okay so what can we do to get you at say like a nine or ten level of confidence
105,okay so what can we do to get you at say like a nine or ten level of confidence,I think I would be more confident if I understood like how do you use some of the gym equipment a little bit more so it's not something that I feel really comfortable doing I just don't I know feel very confident when I'm in there except to use the bike and there are elliptical so some of that could be I would really like to do some strength training but I just don't know how
106,I think I would be more confident if I understood like how do you use some of the gym equipment a little bit more so it's not something that I feel really comfortable doing I just don't I know feel very confident when I'm in there except to use the bike and there are elliptical so some of that could be I would really like to do some strength training but I just don't know how,okay that sounds really interesting
107,okay that sounds really interesting,hi Andrea thanks for coming in
108,hi Andrea thanks for coming in,thank you
109,thank you,so I don't know how much you know already about sort of my role here and why you're even here so I thought I'd start by telling you a little bit about myself basically my job is to meet with all of the students I meet with everybody about once or twice a semester and just talk with you a little bit about how things are going different behaviors that you might be engaging in and thinking about any changes you might want to make for your life if you decide that you do it's not my job to change you I couldn't even if I wanted to that's not my role at all it's really to help you think about you know how things are going for you and how you might like making changes or moving forward that sound okay all right so why don't we start by you telling me a little bit about yourself
110,so I don't know how much you know already about sort of my role here and why you're even here so I thought I'd start by telling you a little bit about myself basically my job is to meet with all of the students I meet with everybody about once or twice a semester and just talk with you a little bit about how things are going different behaviors that you might be engaging in and thinking about any changes you might want to make for your life if you decide that you do it's not my job to change you I couldn't even if I wanted to that's not my role at all it's really to help you think about you know how things are going for you and how you might like making changes or moving forward that sound okay all right so why don't we start by you telling me a little bit about yourself,sure um as you know I'm Andrea I uh I'm a junior I'm in the marching band I played at center sacks I mean yeah I'm also in the little bit of a band geek I play you know the Wind Ensemble and the Jazz Band things like that
111,wow you really are involved in music,yeah
112,yeah,when did you start
113,when did you start,I started playing about 10 years ago actually
114,I started playing about 10 years ago actually,Wow
115,Wow,yeah I start on the violin first and then I went on explored a little with the piano clarinet finally found the tenor sax hmm yeah
116,yeah I start on the violin first and then I went on explored a little with the piano clarinet finally found the tenor sax hmm yeah,very cool I've always wanted to be good at music all right so it sounds like you're in band and a few other musical ensembles any other hobbies you have or things you like to do for fun
117,very cool I've always wanted to be good at music all right so it sounds like you're in band and a few other musical ensembles any other hobbies you have or things you like to do for fun,um you know just hanging out with my friends or go to the beach things like that
118,it's kind of everyday sort of thing okay tell me a little bit about your family,uh well I have one older brother he's about eight and a half old years older than me my parents and I have dog
119,uh well I have one older brother he's about eight and a half old years older than me my parents and I have dog,cute what kind of dogs
120,cute what kind of dogs,the golden retriever
121,the golden retriever,oh nice
122,oh nice,I'm a big boy
123,I'm a big boy,very fun all right and how are things going in school for you
124,very fun all right and how are things going in school for you,pretty good grades have been pretty all right still like 3.7 ish
125,pretty good grades have been pretty all right still like 3.7 ish,okay great so you're doing well what sorts of goals do you have for after college or after high school
126,okay great so you're doing well what sorts of goals do you have for after college or after high school,I'd like to you know I'd like to of course graduate high school hopefully go to a nice Ivy League school or I mean that might not happen and then I'd like to go on become a doctor study psychology you need to come a psychiatrist or something
127,okay you have some pretty big dreams,yeah
128,yeah,it's great that's really exciting to think about that and he's going to be looking forward to the future and those things all right well one thing I'm going to ask you about is um you know different people have sort of different things that they really value in their life whether it's you know their cultural identity or their family or their friends or job or hobbies things like that so here's a little sheet that goes through just some basic values that might be more or less important to certain people like belonging or sense of community again cultural identity or family friendship modesty religion respect self-determination and spirituality so when you think about yourself which of these are kind of most important to you in terms of your life
129,it's great that's really exciting to think about that and he's going to be looking forward to the future and those things all right well one thing I'm going to ask you about is um you know different people have sort of different things that they really value in their life whether it's you know their cultural identity or their family or their friends or job or hobbies things like that so here's a little sheet that goes through just some basic values that might be more or less important to certain people like belonging or sense of community again cultural identity or family friendship modesty religion respect self-determination and spirituality so when you think about yourself which of these are kind of most important to you in terms of your life,um I think a sense of community and belonging
130,um I think a sense of community and belonging,okay
131,okay,I think those two and um respect respect
132,I think those two and um respect respect,okay can you tell me a little bit about why you picked those three
133,okay can you tell me a little bit about why you picked those three,yeah well I think the community belonging I kind of related them um you know how I said I was in the marching band I really you know I really enjoyed being in like that team setting of you know being with other people and all working to work together towards that one goal
134,yeah well I think the community belonging I kind of related them um you know how I said I was in the marching band I really you know I really enjoyed being in like that team setting of you know being with other people and all working to work together towards that one goal,mm-hmm
135,mm-hmm,and then in terms of respect I I kind of view that as one of like my major like rules like I I really do think respect is important to respect myself or respect those around me so
136,and then in terms of respect I I kind of view that as one of like my major like rules like I I really do think respect is important to respect myself or respect those around me so,okay
137,okay,I place great importance in that
138,I place great importance in that,okay great so sort of being a part of a group and being a part of a team gives you a sense of belonging like you said a sense of purpose anyway and then the respect is really sort of all-encompassing it's not just Authority but respecting yourself respecting your teammates or your bandmates and other people around you okay that's great all right well one of the things I want to talk to you about sort of relates to belonging and your friends so what kinds of things do you like to do when you get together with your friends
139,okay great so sort of being a part of a group and being a part of a team gives you a sense of belonging like you said a sense of purpose anyway and then the respect is really sort of all-encompassing it's not just Authority but respecting yourself respecting your teammates or your bandmates and other people around you okay that's great all right well one of the things I want to talk to you about sort of relates to belonging and your friends so what kinds of things do you like to do when you get together with your friends,um sometimes if you just you know go to the movies go to the beach like I had said or sometimes we just get together someone's house play some board games and hang out
140,um sometimes if you just you know go to the movies go to the beach like I had said or sometimes we just get together someone's house play some board games and hang out,mm-hmm and when you're hanging out with friends is there ever alcohol involved
141,mm-hmm and when you're hanging out with friends is there ever alcohol involved,yeah sometimes
142,yeah sometimes,okay can you tell me a little bit about how alcohol fits into sort of your social scene
143,okay can you tell me a little bit about how alcohol fits into sort of your social scene,uh well it's mostly just for for parties or party settings it's kind of to get things going and got everything loosened up as they say
144,uh well it's mostly just for for parties or party settings it's kind of to get things going and got everything loosened up as they say,mm-hmm and so when you go to parties most of the time there's alcohol there okay and how often do you think you would say you're drinking
145,mm-hmm and so when you go to parties most of the time there's alcohol there okay and how often do you think you would say you're drinking,I'd say um on a not busy month for instance I'd say about like two weekends out of the month two three
146,I'd say um on a not busy month for instance I'd say about like two weekends out of the month two three,mm-hmm so about half the time you're drinking and half the time you're not can you tell me what's different about the days when you choose to drink versus not to drink
147,mm-hmm so about half the time you're drinking and half the time you're not can you tell me what's different about the days when you choose to drink versus not to drink,the days that we drink are mostly like I said they're parties so it's more of that whole partying and dancing and you know having everyone have fun and then when we don't it's a lot more relaxed it's a lot more hanging out playing board games watching a movie it's not yeah
148,so it really depends on what the activity is whether or not alcohols get,definitely
149,definitely,okay and do you notice a big difference or can you tell me about the difference in your enjoyment level at say a party versus and that you're playing board games
150,okay and do you notice a big difference or can you tell me about the difference in your enjoyment level at say a party versus and that you're playing board games,I think of them as as different I think you know like in playing board games and things it's meant to be relaxing so it's nice to have like that kind of breather versus with a party it's a lot more energetic it's a after at all it's very draining
151,I think of them as as different I think you know like in playing board games and things it's meant to be relaxing so it's nice to have like that kind of breather versus with a party it's a lot more energetic it's a after at all it's very draining,mm-hmm
152,mm-hmm,but in the moment it's quite fun to dance and have
153,okay so there's sort of pros and cons,oh yeah
154,oh yeah,okay what are the things that you like about drinking or like about alcohol
155,okay what are the things that you like about drinking or like about alcohol,um it's you know when we drink we we tend to have more fun because I guess we're not you know everyone's drinking together we're a lot more loosened up and relaxed and not really thinking about stresses or things like that but it can be when it's too much drinking it can be can be obviously bad
156,um it's you know when we drink we we tend to have more fun because I guess we're not you know everyone's drinking together we're a lot more loosened up and relaxed and not really thinking about stresses or things like that but it can be when it's too much drinking it can be can be obviously bad,okay so sort of in the the too much drinking or our times can you tell me some of the less good things or not so good things about alcohol
157,okay so sort of in the the too much drinking or our times can you tell me some of the less good things or not so good things about alcohol,um a lot of times it will make make people stupid yeah you know people make dumb decisions and things like that we we usually try to be as safe about it as possible so like sleepover friends house and so you know we're not driving and it's mostly within our friend group so we're not worried about strangers putting weird things in our drinks but um definitely some of the ideas people can have when they're stupid when they're drunk can can be really stupid
158,um a lot of times it will make make people stupid yeah you know people make dumb decisions and things like that we we usually try to be as safe about it as possible so like sleepover friends house and so you know we're not driving and it's mostly within our friend group so we're not worried about strangers putting weird things in our drinks but um definitely some of the ideas people can have when they're stupid when they're drunk can can be really stupid,hmm so you're trying to like you said not engage in really dangerous activities you're trying to stay put you're not driving you're trying to stay with people that you trust but yet it sounds like there's still some some things happening
159,hmm so you're trying to like you said not engage in really dangerous activities you're trying to stay put you're not driving you're trying to stay with people that you trust but yet it sounds like there's still some some things happening,sometimes yeah
160,sometimes yeah,can you tell me a little bit about that
161,can you tell me a little bit about that,well I especially don't like it whenever me or one of my friends like we drink too much and we hadn't up like throwing up and things like that that I don't that's not fun
162,well I especially don't like it whenever me or one of my friends like we drink too much and we hadn't up like throwing up and things like that that I don't that's not fun,yeah throwing up is never fun it's not and how often do you think that happened
163,yeah throwing up is never fun it's not and how often do you think that happened,for me that's happened to me once it was the first time I ever drank and it was it was a lot and you know what I was doing I was mixing all kinds of weird things I'm just kind of taking anything ever anyone gave me and that didn't end well but after that I have it but I do have friends that that still do sometimes so I'll end up like having to take care of them or something and
164,for me that's happened to me once it was the first time I ever drank and it was it was a lot and you know what I was doing I was mixing all kinds of weird things I'm just kind of taking anything ever anyone gave me and that didn't end well but after that I have it but I do have friends that that still do sometimes so I'll end up like having to take care of them or something and,okay
165,okay,it kind of put it down around my my fun
166,it kind of put it down around my my fun,huh okay so on the one side some of the fun things associated with alcohol are people are just more relaxed sort of carefree and kind of let loose a little bit more on the other hand there's a little bit more I guess planning involved because you have to make sure that you're doing it safely or as safe as you can and then there can be some other consequences like throwing up or even if it's not you that sometimes you're stuck your your fun is sort of ruined when you're stuck dealing with a friend you drink too much okay any other not-so-good things about the alcohol
167,huh okay so on the one side some of the fun things associated with alcohol are people are just more relaxed sort of carefree and kind of let loose a little bit more on the other hand there's a little bit more I guess planning involved because you have to make sure that you're doing it safely or as safe as you can and then there can be some other consequences like throwing up or even if it's not you that sometimes you're stuck your your fun is sort of ruined when you're stuck dealing with a friend you drink too much okay any other not-so-good things about the alcohol,yeah people can get a little like sloppy I guess like they're all loose like with people and corners doing things that should be done in private and that kind of stuff
168,yeah people can get a little like sloppy I guess like they're all loose like with people and corners doing things that should be done in private and that kind of stuff,so you're kind of stuck being exposed to things you don't mean busy
169,so you're kind of stuck being exposed to things you don't mean busy,yeah
170,yeah,got it okay all right well you mentioned a couple times that you've made a few decisions to try and limit the a dangerous aspect of the drinking why did you make those decisions
171,got it okay all right well you mentioned a couple times that you've made a few decisions to try and limit the a dangerous aspect of the drinking why did you make those decisions,I just I you know have an aunt who is an alcoholic so I I see like the issues that are involved and I've seen movies and things I know that drunk driving is an issue so I you know I want to be as safe as possible in those terms and be in a setting where like we can let loose but still be safe like I someone's house or someone's parents home or something but so I like I know that there are dangers involved and I guess I want to limit that and still be able to have fun
172,I just I you know have an aunt who is an alcoholic so I I see like the issues that are involved and I've seen movies and things I know that drunk driving is an issue so I you know I want to be as safe as possible in those terms and be in a setting where like we can let loose but still be safe like I someone's house or someone's parents home or something but so I like I know that there are dangers involved and I guess I want to limit that and still be able to have fun,okay yeah it sounds kind of similar to your your value of respect too so on the one hand you the drinking maybe helps with the belonging community to start if there's too much then
173,okay yeah it sounds kind of similar to your your value of respect too so on the one hand you the drinking maybe helps with the belonging community to start if there's too much then,it sort of defeats the purpose
174,it sort of defeats the purpose,right and then with the respect one of the things you mentioned is really wanting to respect yourself and not sort of cross boundaries not sort of cross lines how do you think that the drinking fits in with that
175,right and then with the respect one of the things you mentioned is really wanting to respect yourself and not sort of cross boundaries not sort of cross lines how do you think that the drinking fits in with that,in terms of what in terms of respect I think well in a way I do think that drinking is probably a form of disrespect to my own body because I'm not putting things I'm putting things in it that shouldn't be there and then but in terms of hot ways I am respecting myself I am I'm respecting myself by like trying to stay in someone's house and like trying to limit my drinking so I don't get to that blacked out like throwing up and everything and try to you know let loose but still be in control of my behavior so I'm not going to go with some random person I met in - I don't know where to do I don't know what and things like that
176,okay so you're sort of looking for that balance yeah how much you can drink to have some of the positive benefit but about crossover okay and what have you come up with it at this point do you have sort of a limit that you stick to or,usually well I start off by make sure that I make my own drink so I know what's in it how much is in it so that way I control how much I drink so I'll usually just you know get one of those cups and then make one drink and then I'll try to make it last as long as possible and I'll be like all right this is my one drink and I'm good in that way I still have something in my cup some people aren't going to be like oh here have some more like no I'm good I have mine and I'll still be you know having some to like let loose a little
177,usually well I start off by make sure that I make my own drink so I know what's in it how much is in it so that way I control how much I drink so I'll usually just you know get one of those cups and then make one drink and then I'll try to make it last as long as possible and I'll be like all right this is my one drink and I'm good in that way I still have something in my cup some people aren't going to be like oh here have some more like no I'm good I have mine and I'll still be you know having some to like let loose a little,mm-hmm and do you feel like that's working pretty well for you or you sometimes exceed that limit or or what do you think
178,mm-hmm and do you feel like that's working pretty well for you or you sometimes exceed that limit or or what do you think,for the most part it works pretty well because like I said people you know people come asking me trying to pressure me I'll be like no I'm good I have you know I still have so I'm like I'll get some later and then never end up getting anything but sometimes they'll be like hey let's take a shot and everyone's got it around like the kitchen or something ready to take a shot and then at that point I'll be like oh well maybe I can take one more and that's when I start you know falling into
179,for the most part it works pretty well because like I said people you know people come asking me trying to pressure me I'll be like no I'm good I have you know I still have so I'm like I'll get some later and then never end up getting anything but sometimes they'll be like hey let's take a shot and everyone's got it around like the kitchen or something ready to take a shot and then at that point I'll be like oh well maybe I can take one more and that's when I start you know falling into,okay
180,okay,too much
181,too much,so a portion of the time it's working well for you and another portion of the time maybe you like
182,so a portion of the time it's working well for you and another portion of the time maybe you like,I'd
183,I'd,like to make some adjustments to to make it a little smoother okay so kind of thinking along those lines how important is it to you to make some changes or make some adjustments to your drinking to sort of fit with your values and your goals for yourself
184,like to make some adjustments to to make it a little smoother okay so kind of thinking along those lines how important is it to you to make some changes or make some adjustments to your drinking to sort of fit with your values and your goals for yourself,um I'd like to make sure that I you know in terms of respecting myself of my body I'd like to you know try to drink less
185,um I'd like to make sure that I you know in terms of respecting myself of my body I'd like to you know try to drink less,okay
186,okay,like I you know it is nice to let loose and have fun but I'd also like it to be so you know I'm not damaging my body and I like my liver doesn't work by the time I'm like 22
187,like I you know it is nice to let loose and have fun but I'd also like it to be so you know I'm not damaging my body and I like my liver doesn't work by the time I'm like 22,mm-hmm
188,mm-hmm,and um you know have my friends on board with a similar mentality so we can kind of work at it together as a group as a community
189,and um you know have my friends on board with a similar mentality so we can kind of work at it together as a group as a community,uh-huh so kind of combined he has goals okay so you're you have a goal it sounds like of actually cutting back on your drinking how important is it to you to work on that goal on on the scale of one to ten where one is not at all important antennas it's the most important thing right now
190,uh-huh so kind of combined he has goals okay so you're you have a goal it sounds like of actually cutting back on your drinking how important is it to you to work on that goal on on the scale of one to ten where one is not at all important antennas it's the most important thing right now,I'd say about like like a six or a seven oh I like to work on it but you know if I get around to it I get around to if I don't I don't
191,I'd say about like like a six or a seven oh I like to work on it but you know if I get around to it I get around to if I don't I don't,uh-huh well why did you say six or seven rather than like a four
192,uh-huh well why did you say six or seven rather than like a four,um because I still think it's it's important
193,um because I still think it's it's important,uh-huh
194,uh-huh,I still you know like I said I don't want my body tried specially going to my school like I know how things affect your body and also affect your your social and your schoolwork and things like that I know that once I get to college it's not it's not gonna gonna work out being you know drinking every weekend and I'm like trying to wake up early and go to school take an exam I know that's not that's not feasible it's not a good idea
